id,node_id,temperature,humidity,pressure,altitude,soil_moisture,created_at
29,node_2,33.03,68.69907,1008.1,49.03382,42,2025-11-06 08:49:12.000+00
30,node_1,33.15,65.52022,1005.52,66.28915,41,2025-11-06 08:54:12.000+00
31,node_2,33.58,68.2084,1006.564,46.03863,45,2025-11-06 08:54:17.000+00
32,node_1,33.2,66.8528,1005.586,75.59732,37,2025-11-06 08:59:17.000+00
33,node_2,33.24,68.22121,1003.571,51.4215,46,2025-11-06 08:59:22.000+00
34,node_1,32.76,69.55076,1006.927,72.46618,39,2025-11-06 09:04:22.000+00
35,node_2,33.46,66.58184,1005.826,55.69038,43,2025-11-06 09:04:27.000+00
36,node_1,32.83,67.63592,1005.553,70.03901,39,2025-11-06 09:09:27.000+00
37,node_2,32.86,68.2633,1006.654,54.3606,50,2025-11-06 09:09:32.000+00
38,node_1,33.48,66.08265,1004.553,71.41971,38,2025-11-06 09:14:32.000+00
39,node_2,32.89,68.4127,1006.428,49.78151,41,2025-11-06 09:14:37.000+00
40,node_1,33.1,67.94629,1005.346,67.34843,40,2025-11-06 09:19:37.000+00
41,node_2,33.62,65.75654,1005.771,50.46118,42,2025-11-06 09:19:42.000+00
42,node_1,33.46,69.18465,1002.245,71.54511,40,2025-11-06 09:24:42.000+00
43,node_2,33.54,69.14077,1003.124,51.54136,52,2025-11-06 09:24:47.000+00
44,node_1,33.58,68.9248,1004.369,67.68152,38,2025-11-06 09:29:47.000+00
45,node_2,33.81,68.47088,1006.518,49.28954,45,2025-11-06 09:29:52.000+00
46,node_1,34.32,68.45575,1004.056,70.19284,38,2025-11-06 09:34:52.000+00
47,node_2,32.65,65.00729,1007.178,46.76677,46,2025-11-06 09:34:57.000+00
48,node_1,33.14,67.42615,1009.288,63.92457,38,2025-11-06 09:39:57.000+00
49,node_2,33.52,66.38039,1006.268,50.55936,46,2025-11-06 09:40:02.000+00
50,node_1,33.16,68.03111,1002.599,68.57516,43,2025-11-06 09:45:02.000+00
51,node_2,33.43,68.57226,1004.331,48.04001,45,2025-11-06 09:45:07.000+00
52,node_1,33.01,70.38592,1001.961,73.80073,40,2025-11-06 09:50:07.000+00
53,node_2,33.88,68.75138,1004.032,47.87699,46,2025-11-06 09:50:12.000+00
54,node_1,33.17,62.26882,1004.495,74.89723,39,2025-11-06 09:55:12.000+00
55,node_2,33.52,65.59414,1002.504,45.70958,45,2025-11-06 09:55:17.000+00
56,node_1,34.15,68.80251,1003.037,70.59718,40,2025-11-06 10:00:17.000+00
57,node_2,33.0,67.07311,1005.924,48.19935,44,2025-11-06 10:00:22.000+00
58,node_1,33.65,69.36288,1009.266,69.54464,40,2025-11-06 10:05:22.000+00
59,node_2,33.87,65.12714,1001.096,51.76495,43,2025-11-06 10:05:27.000+00
60,node_1,33.56,66.02499,1005.714,72.6988,41,2025-11-06 10:10:27.000+00
61,node_2,33.44,68.18344,1003.614,50.9219,46,2025-11-06 10:10:32.000+00
62,node_1,33.34,67.95428,1004.958,73.83299,41,2025-11-06 10:15:32.000+00
63,node_2,33.44,67.74889,1005.235,48.22529,44,2025-11-06 10:15:37.000+00
64,node_1,33.61,67.99492,1007.611,72.04586,40,2025-11-06 10:20:37.000+00
65,node_2,34.14,67.97706,1005.042,49.0692,44,2025-11-06 10:20:42.000+00
66,node_1,33.76,65.45212,1002.988,73.47433,41,2025-11-06 10:25:42.000+00
67,node_2,33.96,69.81803,1002.572,52.37499,46,2025-11-06 10:25:47.000+00
68,node_1,33.74,66.71504,1006.95,67.52351,40,2025-11-06 10:30:47.000+00
69,node_2,33.39,65.58559,1004.706,49.03584,43,2025-11-06 10:30:52.000+00
70,node_1,33.44,66.88994,1004.058,65.65575,38,2025-11-06 10:35:52.000+00
71,node_2,33.87,65.76208,1005.464,45.77761,44,2025-11-06 10:35:57.000+00
72,node_1,33.92,67.72945,1004.962,69.94446,40,2025-11-06 10:40:57.000+00
73,node_2,34.38,66.20305,1002.995,49.13402,43,2025-11-06 10:41:02.000+00
74,node_1,34.03,66.1831,1006.38,70.67228,40,2025-11-06 10:46:02.000+00
75,node_2,34.43,66.94881,1004.198,50.03778,43,2025-11-06 10:46:07.000+00
76,node_1,33.85,68.44204,1009.306,72.61696,44,2025-11-06 10:51:07.000+00
77,node_2,34.04,67.70423,1003.465,50.55003,43,2025-11-06 10:51:12.000+00
78,node_1,33.52,62.998,1003.482,71.02527,41,2025-11-06 10:56:12.000+00
79,node_2,33.62,65.39522,1005.301,55.62851,43,2025-11-06 10:56:17.000+00
80,node_1,33.51,64.1215,1007.359,64.8606,39,2025-11-06 11:01:17.000+00
81,node_2,34.07,68.84903,1004.062,54.06162,47,2025-11-06 11:01:22.000+00
82,node_1,33.25,66.02723,1004.1,66.79714,40,2025-11-06 11:06:22.000+00
83,node_2,33.65,66.08983,1006.246,49.57286,45,2025-11-06 11:06:27.000+00
84,node_1,34.19,63.63526,1005.665,74.65346,42,2025-11-06 11:11:27.000+00
85,node_2,33.45,67.85294,1003.503,50.34702,45,2025-11-06 11:11:32.000+00
86,node_1,34.74,65.47965,1006.291,67.10523,42,2025-11-06 11:16:32.000+00
87,node_2,34.62,67.31045,1007.737,52.05815,41,2025-11-06 11:16:37.000+00
88,node_1,33.45,65.36528,1008.005,74.88585,36,2025-11-06 11:21:37.000+00
89,node_2,33.11,66.84571,1005.148,45.8597,44,2025-11-06 11:21:42.000+00
90,node_1,34.09,62.58421,1002.391,71.09979,38,2025-11-06 11:26:42.000+00
91,node_2,33.92,65.55169,1006.339,47.18036,42,2025-11-06 11:26:47.000+00
92,node_1,33.92,64.12248,1003.939,69.67891,38,2025-11-06 11:31:47.000+00
93,node_2,34.32,66.35714,1003.414,46.89427,42,2025-11-06 11:31:52.000+00
94,node_1,34.74,64.46694,1004.775,71.8425,38,2025-11-06 11:36:52.000+00
95,node_2,33.96,65.8375,1004.558,52.27252,43,2025-11-06 11:36:57.000+00
96,node_1,33.84,63.159,1008.29,71.72967,46,2025-11-06 11:41:57.000+00
97,node_2,33.03,67.4821,1004.502,50.93375,47,2025-11-06 11:42:02.000+00
98,node_1,33.91,62.9198,1003.487,68.06028,43,2025-11-06 11:47:02.000+00
99,node_2,33.58,65.63466,1002.155,46.75536,46,2025-11-06 11:47:07.000+00
100,node_1,33.96,65.36048,1008.046,66.88826,38,2025-11-06 11:52:07.000+00
101,node_2,34.55,63.9525,1006.078,49.42898,42,2025-11-06 11:52:12.000+00
102,node_1,34.33,63.06148,1003.699,68.22282,39,2025-11-06 11:57:12.000+00
103,node_2,34.73,66.00378,1004.026,47.40803,43,2025-11-06 11:57:17.000+00
104,node_1,34.07,64.71578,1003.846,71.50275,40,2025-11-06 12:02:17.000+00
105,node_2,33.94,63.71286,1006.511,47.06733,46,2025-11-06 12:02:22.000+00
106,node_1,33.29,63.99516,1003.473,65.11737,40,2025-11-06 12:07:22.000+00
107,node_2,34.18,65.845,1001.39,50.14425,43,2025-11-06 12:07:27.000+00
108,node_1,34.21,64.80493,1003.696,67.41876,41,2025-11-06 12:12:27.000+00
109,node_2,33.29,63.08752,1005.095,48.84633,43,2025-11-06 12:12:32.000+00
110,node_1,34.29,65.6138,1000.057,71.73122,40,2025-11-06 12:17:32.000+00
111,node_2,33.5,66.98145,1003.406,49.39086,43,2025-11-06 12:17:37.000+00
112,node_1,33.98,66.48596,1005.675,68.53718,40,2025-11-06 12:22:37.000+00
113,node_2,33.88,65.11592,1004.176,48.70233,44,2025-11-06 12:22:42.000+00
114,node_1,34.05,65.95635,1007.402,63.88563,36,2025-11-06 12:27:42.000+00
115,node_2,34.77,64.16062,1004.184,46.97574,44,2025-11-06 12:27:47.000+00
116,node_1,33.94,65.05565,1006.659,70.70684,36,2025-11-06 12:32:47.000+00
117,node_2,34.6,64.23661,1000.578,52.3126,47,2025-11-06 12:32:52.000+00
118,node_1,34.05,65.43029,1005.364,68.62192,41,2025-11-06 12:37:52.000+00
119,node_2,33.75,67.88716,1005.496,47.45047,43,2025-11-06 12:37:57.000+00
120,node_1,33.93,65.11576,1007.075,69.19038,38,2025-11-06 12:42:57.000+00
121,node_2,33.71,64.89778,1003.98,47.06371,45,2025-11-06 12:43:02.000+00
122,node_1,34.19,65.60113,1005.827,67.67863,36,2025-11-06 12:48:02.000+00
123,node_2,33.52,66.33018,1008.754,46.26604,47,2025-11-06 12:48:07.000+00
124,node_1,34.14,64.63366,1009.892,70.32818,40,2025-11-06 12:53:07.000+00
125,node_2,33.85,62.52547,1005.258,52.1773,45,2025-11-06 12:53:12.000+00
126,node_1,33.54,66.95416,1008.186,67.03119,39,2025-11-06 12:58:12.000+00
127,node_2,34.05,66.14926,1003.978,49.62264,47,2025-11-06 12:58:17.000+00
128,node_1,33.16,63.81201,1002.976,72.46951,37,2025-11-06 13:03:17.000+00
129,node_2,34.45,63.4087,1001.69,50.21995,42,2025-11-06 13:03:22.000+00
130,node_1,33.69,63.57805,1004.509,61.90934,39,2025-11-06 13:08:22.000+00
131,node_2,34.49,61.71272,1004.455,49.83712,46,2025-11-06 13:08:27.000+00
132,node_1,34.54,63.48308,1010.147,70.04179,40,2025-11-06 13:13:27.000+00
133,node_2,34.25,62.22662,1005.118,49.92762,44,2025-11-06 13:13:32.000+00
134,node_1,33.55,63.75685,1003.574,69.23507,34,2025-11-06 13:18:32.000+00
135,node_2,33.56,62.99084,1005.213,54.51198,47,2025-11-06 13:18:37.000+00
136,node_1,34.25,63.21215,1002.185,66.66827,41,2025-11-06 13:23:37.000+00
137,node_2,32.93,63.16902,1003.444,55.25681,47,2025-11-06 13:23:42.000+00
138,node_1,34.02,62.86028,1002.556,69.27902,41,2025-11-06 13:28:42.000+00
139,node_2,33.28,64.38112,1006.426,48.87554,45,2025-11-06 13:28:47.000+00
140,node_1,33.56,61.94705,1006.186,70.9784,41,2025-11-06 13:33:47.000+00
141,node_2,34.17,64.49255,1004.381,46.24666,44,2025-11-06 13:33:52.000+00
142,node_1,33.47,62.43447,1001.887,66.15871,35,2025-11-06 13:38:52.000+00
143,node_2,34.1,61.3783,1006.212,55.26438,48,2025-11-06 13:38:57.000+00
144,node_1,33.73,62.59674,1004.925,70.34268,39,2025-11-06 13:43:57.000+00
145,node_2,33.61,64.01282,1007.207,50.45091,44,2025-11-06 13:44:02.000+00
146,node_1,33.74,61.30027,1005.342,70.0553,38,2025-11-06 13:49:02.000+00
147,node_2,32.93,64.43744,1004.632,51.04275,43,2025-11-06 13:49:07.000+00
148,node_1,33.66,63.85992,1007.058,70.76809,43,2025-11-06 13:54:07.000+00
149,node_2,33.19,60.69367,1005.945,52.94807,46,2025-11-06 13:54:12.000+00
150,node_1,32.81,62.23623,1006.035,70.5603,38,2025-11-06 13:59:12.000+00
151,node_2,33.04,63.21259,1003.549,47.73385,42,2025-11-06 13:59:17.000+00
152,node_1,33.15,61.6365,1003.101,71.47995,38,2025-11-06 14:04:17.000+00
153,node_2,32.97,64.68077,1010.265,50.55451,46,2025-11-06 14:04:22.000+00
154,node_1,33.25,66.86827,1007.299,69.89503,38,2025-11-06 14:09:22.000+00
155,node_2,33.53,62.88405,1003.594,55.3124,48,2025-11-06 14:09:27.000+00
156,node_1,33.73,63.9056,1006.244,67.81859,39,2025-11-06 14:14:27.000+00
157,node_2,33.22,64.41582,1001.86,49.25744,46,2025-11-06 14:14:32.000+00
158,node_1,33.48,63.45719,1006.12,72.50177,39,2025-11-06 14:19:32.000+00
159,node_2,32.87,63.80277,1007.162,51.37754,41,2025-11-06 14:19:37.000+00
160,node_1,33.54,63.22524,1002.838,69.88133,39,2025-11-06 14:24:37.000+00
161,node_2,33.45,60.90275,1007.106,52.0445,44,2025-11-06 14:24:42.000+00
162,node_1,33.7,62.89416,1004.131,70.6664,42,2025-11-06 14:29:42.000+00
163,node_2,33.12,62.05657,1004.382,48.56375,43,2025-11-06 14:29:47.000+00
164,node_1,33.21,64.8537,1007.064,70.80115,39,2025-11-06 14:34:47.000+00
165,node_2,33.11,62.97807,1002.029,52.66889,46,2025-11-06 14:34:52.000+00
166,node_1,33.04,66.06603,1004.109,74.73872,38,2025-11-06 14:39:52.000+00
167,node_2,33.81,62.07342,1007.907,48.43142,44,2025-11-06 14:39:57.000+00
168,node_1,32.66,61.04713,1004.931,74.6515,41,2025-11-06 14:44:57.000+00
169,node_2,32.83,61.40164,1005.468,47.00494,44,2025-11-06 14:45:02.000+00
170,node_1,33.13,60.79327,1005.333,70.86751,38,2025-11-06 14:50:02.000+00
171,node_2,33.42,63.05097,1005.985,57.3659,43,2025-11-06 14:50:07.000+00
172,node_1,32.85,61.45972,1007.841,67.50293,38,2025-11-06 14:55:07.000+00
173,node_2,32.88,64.19933,1003.859,51.41425,46,2025-11-06 14:55:12.000+00
174,node_1,33.14,64.67682,1003.774,70.8576,41,2025-11-06 15:00:12.000+00
175,node_2,32.45,65.04938,1004.225,51.00337,48,2025-11-06 15:00:17.000+00
176,node_1,32.94,60.2277,1004.934,68.44717,39,2025-11-06 15:05:17.000+00
177,node_2,32.69,61.20028,1008.589,50.67136,47,2025-11-06 15:05:22.000+00
178,node_1,33.97,61.505,1006.364,71.75178,40,2025-11-06 15:10:22.000+00
179,node_2,32.75,63.8054,1008.693,48.92212,47,2025-11-06 15:10:27.000+00
180,node_1,33.24,63.78306,1007.764,69.49865,42,2025-11-06 15:15:27.000+00
181,node_2,33.11,63.937,1006.297,50.44014,43,2025-11-06 15:15:32.000+00
182,node_1,33.01,62.17149,1005.382,65.92043,41,2025-11-06 15:20:32.000+00
183,node_2,32.7,64.04605,1005.093,52.23876,49,2025-11-06 15:20:37.000+00
184,node_1,32.69,62.44923,1004.809,71.82369,38,2025-11-06 15:25:37.000+00
185,node_2,32.9,64.44133,1005.558,50.55983,45,2025-11-06 15:25:42.000+00
186,node_1,33.19,62.22287,1007.39,68.32323,42,2025-11-06 15:30:42.000+00
187,node_2,32.35,60.97323,1001.954,51.13164,44,2025-11-06 15:30:47.000+00
188,node_1,32.48,59.80117,1005.88,66.9363,40,2025-11-06 15:35:47.000+00
189,node_2,33.46,58.67498,1003.996,52.12507,43,2025-11-06 15:35:52.000+00
190,node_1,32.14,62.8998,1008.693,65.42342,39,2025-11-06 15:40:52.000+00
191,node_2,33.0,61.77574,1002.86,47.92428,45,2025-11-06 15:40:57.000+00
192,node_1,32.5,60.00006,1004.836,71.02818,40,2025-11-06 15:45:57.000+00
193,node_2,32.74,64.04302,1007.235,51.37026,45,2025-11-06 15:46:02.000+00
194,node_1,32.79,62.11726,1004.821,67.97082,39,2025-11-06 15:51:02.000+00
195,node_2,33.06,62.88598,1007.88,55.40282,41,2025-11-06 15:51:07.000+00
196,node_1,32.52,63.03982,1004.108,68.64308,36,2025-11-06 15:56:07.000+00
197,node_2,32.2,60.79992,1001.221,42.72836,46,2025-11-06 15:56:12.000+00
198,node_1,32.73,60.28641,1004.993,74.51019,39,2025-11-06 16:01:12.000+00
199,node_2,32.59,61.6653,1002.683,52.63209,44,2025-11-06 16:01:17.000+00
200,node_1,32.44,61.32577,1002.997,75.39306,38,2025-11-06 16:06:17.000+00
201,node_2,31.54,60.67356,1004.438,51.92253,45,2025-11-06 16:06:22.000+00
202,node_1,32.86,61.74732,1006.396,72.68558,41,2025-11-06 16:11:22.000+00
203,node_2,32.67,60.68747,1005.787,51.90552,43,2025-11-06 16:11:27.000+00
204,node_1,32.77,64.7338,1008.472,68.04575,39,2025-11-06 16:16:27.000+00
205,node_2,32.32,60.58713,1005.396,48.54834,45,2025-11-06 16:16:32.000+00
206,node_1,32.39,61.54912,1008.455,70.11401,41,2025-11-06 16:21:32.000+00
207,node_2,31.95,64.79906,1005.873,50.36009,42,2025-11-06 16:21:37.000+00
208,node_1,32.02,62.15096,1004.034,66.3227,40,2025-11-06 16:26:37.000+00
209,node_2,31.45,62.52292,1008.148,45.60688,46,2025-11-06 16:26:42.000+00
210,node_1,32.73,63.13836,1004.655,71.95697,42,2025-11-06 16:31:42.000+00
211,node_2,31.87,61.46258,1006.767,45.27082,47,2025-11-06 16:31:47.000+00
212,node_1,31.75,62.23137,1003.899,69.92334,40,2025-11-06 16:36:47.000+00
213,node_2,32.15,61.88133,1003.657,53.51819,44,2025-11-06 16:36:52.000+00
214,node_1,32.24,63.18523,1004.275,66.11596,38,2025-11-06 16:41:52.000+00
215,node_2,30.79,58.85251,1002.761,53.48248,45,2025-11-06 16:41:57.000+00
216,node_1,31.85,61.55086,1006.993,65.33025,42,2025-11-06 16:46:57.000+00
217,node_2,32.06,59.51114,1004.012,48.71565,46,2025-11-06 16:47:02.000+00
218,node_1,31.66,60.92339,1005.764,73.09085,39,2025-11-06 16:52:02.000+00
219,node_2,31.66,64.52096,1005.86,50.71637,44,2025-11-06 16:52:07.000+00
220,node_1,31.7,62.47482,1006.465,70.23591,41,2025-11-06 16:57:07.000+00
221,node_2,31.72,61.4613,1004.839,44.0054,45,2025-11-06 16:57:12.000+00
222,node_1,32.07,64.49531,1007.216,71.83832,38,2025-11-06 17:02:12.000+00
223,node_2,30.51,61.15336,1002.92,46.83975,48,2025-11-06 17:02:17.000+00
224,node_1,31.53,62.64906,1005.301,77.21025,40,2025-11-06 17:07:17.000+00
225,node_2,31.69,62.08748,1005.73,49.82714,46,2025-11-06 17:07:22.000+00
226,node_1,31.98,62.28512,1008.267,70.90791,39,2025-11-06 17:12:22.000+00
227,node_2,32.01,59.61252,1002.707,47.73717,45,2025-11-06 17:12:27.000+00
228,node_1,31.6,63.73252,1004.512,73.56841,40,2025-11-06 17:17:27.000+00
229,node_2,31.64,61.99226,1006.928,46.31718,46,2025-11-06 17:17:32.000+00
230,node_1,31.29,61.07367,1004.654,66.71117,42,2025-11-06 17:22:32.000+00
231,node_2,31.96,61.48712,1005.031,45.67985,43,2025-11-06 17:22:37.000+00
232,node_1,30.95,60.32899,1008.284,67.93555,41,2025-11-06 17:27:37.000+00
233,node_2,30.48,59.3028,1007.02,56.75731,44,2025-11-06 17:27:42.000+00
234,node_1,30.28,59.19363,1007.045,74.15282,40,2025-11-06 17:32:42.000+00
235,node_2,32.2,58.80989,1009.88,51.69173,46,2025-11-06 17:32:47.000+00
236,node_1,31.52,61.42674,1003.492,64.92113,37,2025-11-06 17:37:47.000+00
237,node_2,31.33,61.17655,1004.439,49.70498,42,2025-11-06 17:37:52.000+00
238,node_1,31.22,62.64226,1003.021,67.05254,40,2025-11-06 17:42:52.000+00
239,node_2,31.7,58.90903,1006.882,49.3261,42,2025-11-06 17:42:57.000+00
240,node_1,31.12,60.35898,1001.814,69.94109,40,2025-11-06 17:47:57.000+00
241,node_2,30.55,61.7407,1005.881,51.65747,47,2025-11-06 17:48:02.000+00
242,node_1,31.05,61.44205,1005.098,67.89402,36,2025-11-06 17:53:02.000+00
243,node_2,30.83,62.07355,1005.081,48.0113,48,2025-11-06 17:53:07.000+00
244,node_1,30.44,60.18141,1004.41,67.97953,38,2025-11-06 17:58:07.000+00
245,node_2,30.66,62.60141,1007.495,50.83698,49,2025-11-06 17:58:12.000+00
246,node_1,30.39,62.21202,1004.629,70.13143,41,2025-11-06 18:03:12.000+00
247,node_2,30.99,61.88205,1004.74,49.55899,49,2025-11-06 18:03:17.000+00
248,node_1,30.58,61.13317,1003.393,75.0331,40,2025-11-06 18:08:17.000+00
249,node_2,30.26,65.13515,1008.278,48.33924,47,2025-11-06 18:08:22.000+00
250,node_1,30.59,60.3992,1003.701,70.10225,40,2025-11-06 18:13:22.000+00
251,node_2,30.66,59.74959,1002.552,47.69008,41,2025-11-06 18:13:27.000+00
252,node_1,30.8,58.28916,1007.455,75.01772,38,2025-11-06 18:18:27.000+00
253,node_2,31.0,61.84085,1002.581,51.25706,44,2025-11-06 18:18:32.000+00
254,node_1,30.83,62.09783,1005.339,69.66632,38,2025-11-06 18:23:32.000+00
255,node_2,30.64,59.90869,1002.173,47.28828,47,2025-11-06 18:23:37.000+00
256,node_1,30.98,59.66306,1007.426,76.95799,40,2025-11-06 18:28:37.000+00
257,node_2,30.78,60.82691,1005.283,51.17995,44,2025-11-06 18:28:42.000+00
258,node_1,30.53,62.37741,1003.428,64.49138,37,2025-11-06 18:33:42.000+00
259,node_2,30.41,62.7503,1002.338,51.52397,40,2025-11-06 18:33:47.000+00
260,node_1,30.56,61.32174,1005.164,72.75723,40,2025-11-06 18:38:47.000+00
261,node_2,31.41,62.58858,1004.802,49.12918,45,2025-11-06 18:38:52.000+00
262,node_1,30.08,61.08589,1006.073,70.08454,41,2025-11-06 18:43:52.000+00
263,node_2,30.74,60.21471,1003.203,49.97264,45,2025-11-06 18:43:57.000+00
264,node_1,30.27,63.45299,1005.021,66.80466,38,2025-11-06 18:48:57.000+00
265,node_2,30.61,62.20439,1002.376,49.08433,44,2025-11-06 18:49:02.000+00
266,node_1,30.22,61.28718,1005.129,67.18199,37,2025-11-06 18:54:02.000+00
267,node_2,30.41,62.12268,1001.049,49.56774,45,2025-11-06 18:54:07.000+00
268,node_1,30.75,61.0962,1005.297,68.15979,38,2025-11-06 18:59:07.000+00
269,node_2,30.62,63.65245,1004.326,49.09259,45,2025-11-06 18:59:12.000+00
270,node_1,30.14,62.09705,1006.899,62.33824,36,2025-11-06 19:04:12.000+00
271,node_2,30.07,63.22761,1002.03,52.80296,44,2025-11-06 19:04:17.000+00
272,node_1,29.54,62.28094,1003.847,68.36127,36,2025-11-06 19:09:17.000+00
273,node_2,29.29,62.60748,999.818,51.17541,45,2025-11-06 19:09:22.000+00
274,node_1,29.94,61.67704,1007.393,69.91809,38,2025-11-06 19:14:22.000+00
275,node_2,30.18,60.03807,1004.683,47.2002,42,2025-11-06 19:14:27.000+00
276,node_1,29.81,59.47055,1007.942,67.99278,38,2025-11-06 19:19:27.000+00
277,node_2,30.57,59.10806,1004.581,53.11971,48,2025-11-06 19:19:32.000+00
278,node_1,30.09,64.79688,1006.484,73.90522,39,2025-11-06 19:24:32.000+00
279,node_2,29.63,60.65235,1005.599,54.68453,43,2025-11-06 19:24:37.000+00
280,node_1,29.94,64.6153,1004.269,65.95862,42,2025-11-06 19:29:37.000+00
281,node_2,29.49,61.80002,1005.369,47.08516,43,2025-11-06 19:29:42.000+00
282,node_1,29.28,63.40984,1006.992,65.73457,39,2025-11-06 19:34:42.000+00
283,node_2,29.91,62.70971,1003.486,54.504,44,2025-11-06 19:34:47.000+00
284,node_1,30.17,62.35292,1003.713,70.17104,42,2025-11-06 19:39:47.000+00
285,node_2,29.86,64.91659,1006.856,50.80578,45,2025-11-06 19:39:52.000+00
286,node_1,29.79,61.1612,1002.91,76.16862,39,2025-11-06 19:44:52.000+00
287,node_2,30.01,60.44981,1001.067,46.69037,44,2025-11-06 19:44:57.000+00
288,node_1,29.64,63.04058,1004.666,69.25393,40,2025-11-06 19:49:57.000+00
289,node_2,29.85,60.87526,1005.565,54.82204,46,2025-11-06 19:50:02.000+00
290,node_1,29.71,62.07271,1005.799,68.41415,42,2025-11-06 19:55:02.000+00
291,node_2,29.92,59.85593,1003.697,51.75909,44,2025-11-06 19:55:07.000+00
292,node_1,29.51,62.20725,1006.131,72.26002,42,2025-11-06 20:00:07.000+00
293,node_2,30.07,65.74864,1001.478,51.14348,46,2025-11-06 20:00:12.000+00
294,node_1,29.28,61.57918,1003.839,75.00971,37,2025-11-06 20:05:12.000+00
295,node_2,28.84,60.61693,1006.177,51.18401,45,2025-11-06 20:05:17.000+00
296,node_1,29.76,61.73991,1003.43,69.63716,37,2025-11-06 20:10:17.000+00
297,node_2,29.03,61.96297,1006.297,51.2586,43,2025-11-06 20:10:22.000+00
298,node_1,29.51,64.58121,1005.449,65.7449,36,2025-11-06 20:15:22.000+00
299,node_2,29.07,61.39131,1006.865,44.71757,47,2025-11-06 20:15:27.000+00
300,node_1,28.95,61.1958,1008.084,76.18451,41,2025-11-06 20:20:27.000+00
301,node_2,30.19,62.319,1009.012,53.6251,45,2025-11-06 20:20:32.000+00
302,node_1,29.43,60.86784,1004.66,72.08916,39,2025-11-06 20:25:32.000+00
303,node_2,28.89,62.09008,1004.094,52.86592,47,2025-11-06 20:25:37.000+00
304,node_1,28.6,61.07441,1004.835,74.54035,37,2025-11-06 20:30:37.000+00
305,node_2,28.98,59.34984,1004.757,51.89244,48,2025-11-06 20:30:42.000+00
306,node_1,29.5,61.86593,1004.256,75.65376,38,2025-11-06 20:35:42.000+00
307,node_2,29.24,60.7665,1007.177,54.62973,42,2025-11-06 20:35:47.000+00
308,node_1,29.01,62.74791,1004.068,71.5408,37,2025-11-06 20:40:47.000+00
309,node_2,28.25,62.04175,1001.811,48.4019,38,2025-11-06 20:40:52.000+00
310,node_1,28.9,64.814,1003.796,67.00484,41,2025-11-06 20:45:52.000+00
311,node_2,29.62,61.63647,1005.938,50.90538,47,2025-11-06 20:45:57.000+00
312,node_1,28.82,61.06553,1004.547,72.74075,42,2025-11-06 20:50:57.000+00
313,node_2,28.78,61.14218,1005.735,47.59046,44,2025-11-06 20:51:02.000+00
314,node_1,28.79,58.82003,1006.474,70.20097,36,2025-11-06 20:56:02.000+00
315,node_2,28.5,63.78246,1004.437,51.54782,43,2025-11-06 20:56:07.000+00
316,node_1,29.07,62.96017,1005.933,65.1546,38,2025-11-06 21:01:07.000+00
317,node_2,28.25,60.48496,1004.929,53.49422,43,2025-11-06 21:01:12.000+00
